Epoch, Train Acc, Test Acc, BCE, Duration
1, 69.35, 73.71, 0.5866, 43.0
2, 79.77, 81.64, 0.4504, 37.1
3, 80.93, 83.45, 0.4225, 61.2
4, 83.39, 79.74, 0.3808, 54.7
5, 84.07, 79.91, 0.3609, 40.9
6, 83.56, 83.85, 0.3728, 57.5
7, 85.04, 85.44, 0.3426, 57.9
8, 85.21, 85.98, 0.3391, 33.4
9, 84.88, 85.51, 0.3471, 38.7
10, 85.63, 85.68, 0.3316, 56.0
11, 85.48, 85.52, 0.3332, 35.0
12, 85.55, 85.54, 0.3276, 31.0
13, 86.92, 87.19, 0.3064, 31.0
14, 86.24, 77.81, 0.3195, 30.5
15, 87.01, 86.32, 0.3047, 29.1
16, 87.18, 87.16, 0.3025, 37.9
17, 87.30, 82.54, 0.2942, 28.1
18, 87.54, 88.05, 0.2934, 27.5
19, 88.00, 87.09, 0.2846, 26.4
20, 87.50, 84.29, 0.2914, 27.4
21, 87.69, 88.81, 0.2877, 42.2
22, 87.24, 87.62, 0.2909, 56.3
23, 87.06, 86.79, 0.2962, 56.6
24, 87.93, 83.08, 0.2837, 48.2
25, 87.67, 84.90, 0.2880, 54.7
26, 87.65, 88.70, 0.2858, 55.3
27, 88.88, 88.78, 0.2650, 65.1
28, 88.11, 88.49, 0.2801, 122.8
29, 88.31, 89.02, 0.2732, 29.0
30, 88.70, 89.67, 0.2650, 29.2
31, 88.27, 89.19, 0.2734, 30.0
32, 88.78, 87.99, 0.2628, 30.9
33, 88.84, 89.79, 0.2637, 27.5
34, 89.26, 89.69, 0.2597, 24.7
35, 88.98, 88.12, 0.2617, 31.2
36, 88.82, 89.69, 0.2640, 21.0
37, 88.94, 88.39, 0.2603, 22.1
38, 89.24, 89.34, 0.2507, 21.1
39, 89.01, 89.74, 0.2547, 18.7
40, 89.26, 88.59, 0.2548, 17.9
41, 89.10, 85.95, 0.2563, 20.5
42, 88.89, 90.03, 0.2585, 19.7
43, 89.70, 89.76, 0.2454, 19.5
44, 89.52, 90.38, 0.2493, 27.5
45, 89.85, 87.36, 0.2397, 20.6
46, 89.51, 89.12, 0.2476, 20.8
47, 89.61, 87.48, 0.2438, 28.4
48, 89.96, 90.47, 0.2416, 28.4
49, 89.75, 90.21, 0.2443, 19.5
50, 90.09, 88.14, 0.2376, 21.0
