Epoch, Train Acc, Test Acc, BCE, Duration
1, 70.41, 78.44, 0.5635, 405.8
2, 80.52, 83.53, 0.4330, 16.8
3, 82.91, 82.76, 0.3851, 16.7
4, 83.18, 85.46, 0.3744, 28.6
5, 84.22, 83.89, 0.3559, 29.9
6, 84.15, 84.24, 0.3555, 28.9
7, 85.41, 82.55, 0.3301, 28.5
8, 86.00, 80.53, 0.3167, 16.5
9, 85.24, 86.86, 0.3303, 19.1
10, 85.97, 84.97, 0.3207, 17.7
11, 86.41, 85.74, 0.3075, 16.9
12, 86.72, 86.60, 0.3075, 16.0
13, 86.37, 87.95, 0.3097, 16.0
14, 85.97, 86.64, 0.3165, 16.0
15, 87.14, 86.35, 0.2983, 16.2
16, 87.43, 82.03, 0.2901, 16.5
17, 86.50, 88.56, 0.3120, 16.2
18, 87.71, 84.60, 0.2847, 16.3
19, 87.73, 87.43, 0.2841, 16.5
20, 87.32, 87.46, 0.2898, 15.4
21, 87.05, 86.87, 0.2947, 16.0
22, 86.97, 86.00, 0.2896, 17.1
23, 87.49, 87.75, 0.2861, 16.8
24, 88.31, 88.29, 0.2725, 15.9
25, 88.09, 88.85, 0.2741, 15.7
26, 87.67, 87.21, 0.2809, 15.9
27, 88.58, 89.20, 0.2684, 17.0
28, 88.02, 88.83, 0.2783, 19.9
29, 88.12, 89.39, 0.2743, 22.3
30, 88.41, 89.46, 0.2634, 28.3
31, 88.24, 88.68, 0.2694, 29.0
32, 89.24, 87.95, 0.2514, 28.4
33, 88.26, 88.65, 0.2705, 22.4
34, 88.86, 88.68, 0.2602, 16.6
35, 89.02, 88.24, 0.2545, 16.4
36, 89.29, 88.26, 0.2486, 16.7
37, 88.69, 89.12, 0.2574, 16.8
38, 89.02, 89.25, 0.2518, 16.4
39, 88.81, 89.05, 0.2565, 16.2
40, 89.15, 89.17, 0.2515, 17.2
41, 89.30, 90.08, 0.2476, 16.0
42, 89.38, 87.65, 0.2513, 16.2
43, 89.64, 86.10, 0.2429, 19.3
44, 89.84, 90.01, 0.2369, 18.1
45, 89.03, 87.62, 0.2515, 17.9
46, 89.67, 88.73, 0.2371, 18.0
47, 89.23, 89.37, 0.2460, 18.0
48, 89.22, 89.00, 0.2450, 18.2
49, 90.29, 90.13, 0.2316, 20.2
50, 90.15, 90.50, 0.2279, 18.4
