Epoch, Train Acc, Test Acc, BCE, Duration
1, 70.61, 79.26, 0.5654, 12.7
2, 79.99, 83.53, 0.4300, 23.1
3, 82.46, 82.45, 0.3882, 24.9
4, 84.19, 83.87, 0.3546, 25.3
5, 83.24, 79.35, 0.3696, 26.5
6, 85.18, 86.22, 0.3368, 25.1
7, 85.74, 79.67, 0.3252, 24.4
8, 85.64, 85.51, 0.3203, 25.3
9, 85.84, 85.79, 0.3238, 25.1
10, 85.14, 84.02, 0.3255, 24.7
11, 86.34, 87.78, 0.3097, 21.3
12, 87.08, 85.74, 0.2988, 22.9
13, 85.70, 87.26, 0.3151, 27.1
14, 87.06, 88.27, 0.2917, 26.1
15, 87.21, 85.84, 0.2915, 24.9
16, 86.75, 87.09, 0.2953, 25.9
17, 86.13, 87.51, 0.3065, 27.1
18, 87.01, 87.41, 0.2944, 26.3
19, 86.47, 86.76, 0.2989, 26.4
20, 87.94, 86.40, 0.2748, 26.4
21, 87.91, 86.82, 0.2769, 26.2
22, 88.00, 88.36, 0.2735, 26.6
23, 88.10, 87.51, 0.2721, 26.5
24, 88.06, 89.05, 0.2709, 26.0
25, 87.92, 84.60, 0.2778, 26.4
26, 87.75, 88.38, 0.2781, 26.3
27, 88.40, 88.36, 0.2649, 27.3
28, 88.04, 89.42, 0.2701, 27.5
29, 88.90, 88.63, 0.2574, 26.9
30, 88.09, 88.29, 0.2696, 28.2
31, 88.84, 86.87, 0.2580, 34.5
32, 88.41, 89.69, 0.2583, 26.4
33, 88.98, 89.67, 0.2532, 26.3
34, 88.62, 89.84, 0.2590, 27.1
35, 89.07, 90.03, 0.2503, 22.1
36, 89.11, 89.44, 0.2485, 21.6
37, 89.03, 89.22, 0.2511, 22.1
38, 88.39, 85.61, 0.2624, 23.7
39, 89.25, 89.54, 0.2484, 22.7
40, 89.83, 89.91, 0.2384, 21.9
41, 89.46, 89.79, 0.2441, 22.6
42, 89.44, 89.89, 0.2434, 23.6
43, 89.80, 85.69, 0.2394, 22.8
44, 89.03, 89.61, 0.2543, 25.6
45, 89.30, 87.11, 0.2463, 26.7
46, 90.45, 89.27, 0.2278, 27.1
47, 89.94, 90.05, 0.2346, 31.3
48, 90.26, 90.94, 0.2261, 33.8
49, 90.49, 89.05, 0.2221, 34.3
50, 89.43, 86.91, 0.2403, 34.4
